CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
National Air Cargo Group Inc d/ba National Airlines,OAK,"Oakland, CA",United States,TUP,"Tupelo, MS",United States,True,1
United Parcel Service,OAK,"Oakland, CA",United States,AUS,"Austin, TX",United States,False,26
USA Jet Airlines Inc.,OAK,"Oakland, CA",United States,YIP,"Detroit, MI",United States,False,4
Miami Air International,OAK,"Oakland, CA",United States,CLT,"Charlotte, NC",United States,True,1
Avjet Corporation,OAK,"Oakland, CA",United States,SJC,"San Jose, CA",United States,True,11
USA Jet Airlines Inc.,OAK,"Oakland, CA",United States,ELP,"El Paso, TX",United States,False,15
Southwest Airlines Co.,OAK,"Oakland, CA",United States,SJD,"San Jose del Cabo, Mexico",Mexico,True,12
Miami Air International,OAK,"Oakland, CA",United States,ITO,"Hilo, HI",United States,True,1
Allegiant Air,OAK,"Oakland, CA",United States,OMA,"Omaha, NE",United States,True,4
Federal Express Corporation,OAK,"Oakland, CA",United States,CDB,"Cold Bay, AK",United States,False,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,MEM,"Memphis, TN",United States,True,81
"Jet Aviation Flight Services, Inc.",OAK,"Oakland, CA",United States,TUS,"Tucson, AZ",United States,True,7
Federal Express Corporation,OAK,"Oakland, CA",United States,ALB,"Albany, NY",United States,False,1
USA Jet Airlines Inc.,OAK,"Oakland, CA",United States,BRO,"Brownsville, TX",United States,False,2
Allegiant Air,OAK,"Oakland, CA",United States,SBA,"Santa Barbara, CA",United States,True,1
Miami Air International,OAK,"Oakland, CA",United States,YYC,"Calgary, Canada",Canada,True,1
Federal Express Corporation,OAK,"Oakland, CA",United States,ORD,"Chicago, IL",United States,False,33
Alaska Airlines Inc.,OAK,"Oakland, CA",United States,PUW,"Pullman, WA",United States,True,1
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),OAK,"Oakland, CA",United States,GDL,"Guadalajara, Mexico",Mexico,True,14
Hawaiian Airlines Inc.,OAK,"Oakland, CA",United States,MEX,"Mexico City, Mexico",Mexico,True,6
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),OAK,"Oakland, CA",United States,BJX,"Leon/Guanajuato, Mexico",Mexico,True,15
Miami Air International,OAK,"Oakland, CA",United States,MKE,"Milwaukee, WI",United States,True,1
United Air Lines Inc.,OAK,"Oakland, CA",United States,MKC,"Kansas City, MO",United States,True,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,MSY,"New Orleans, LA",United States,True,26
"KaiserAir, Inc.",OAK,"Oakland, CA",United States,KOA,"Kona, HI",United States,True,39
"Swift Air, LLC",OAK,"Oakland, CA",United States,AZA,"Phoenix, AZ",United States,True,17
Miami Air International,OAK,"Oakland, CA",United States,MSP,"Minneapolis, MN",United States,True,5
Allegiant Air,OAK,"Oakland, CA",United States,MSO,"Missoula, MT",United States,True,4
Horizon Air,OAK,"Oakland, CA",United States,ABQ,"Albuquerque, NM",United States,True,32
United Parcel Service,OAK,"Oakland, CA",United States,CAE,"Columbia, SC",United States,False,14
Federal Express Corporation,OAK,"Oakland, CA",United States,MRY,"Monterey, CA",United States,False,12
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,TPA,"Tampa, FL",United States,True,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,DAL,"Dallas, TX",United States,True,31
"Jet Aviation Flight Services, Inc.",OAK,"Oakland, CA",United States,SGR,"Sugar Land, TX",United States,True,1
SkyWest Airlines Inc.,OAK,"Oakland, CA",United States,SGU,"St. George, UT",United States,True,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,OKC,"Oklahoma City, OK",United States,True,3
Federal Express Corporation,OAK,"Oakland, CA",United States,FAT,"Fresno, CA",United States,False,8
"Swift Air, LLC",OAK,"Oakland, CA",United States,CLE,"Cleveland, OH",United States,True,4
"Swift Air, LLC",OAK,"Oakland, CA",United States,EUG,"Eugene, OR",United States,True,16
Federal Express Corporation,OAK,"Oakland, CA",United States,ONT,"Ontario, CA",United States,False,80
Southwest Airlines Co.,OAK,"Oakland, CA",United States,STL,"St. Louis, MO",United States,True,21
British Airways Plc,OAK,"Oakland, CA",United States,STN,"London, United Kingdom",United Kingdom,True,1
