CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,IDA,"Idaho Falls, ID",United States,TRUE,6
"Jet Aviation Flight Services, Inc.",LAX,"Los Angeles, CA",United States,TEB,"Teterboro, NJ",United States,TRUE,10
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,GJT,"Grand Junction, CO",United States,TRUE,13
American Airlines Inc.,LAX,"Los Angeles, CA",United States,RDU,"Raleigh/Durham, NC",United States,TRUE,33
JetBlue Airways,LAX,"Los Angeles, CA",United States,SJU,"San Juan, PR",United States,TRUE,1
Ethiopian Airlines,LAX,"Los Angeles, CA",United States,ADD,"Addis Ababa, Ethiopia",Ethiopia,TRUE,12
ABX Air Inc,LAX,"Los Angeles, CA",United States,SJO,"San Jose, Costa Rica",Costa Rica,FALSE,38
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,RDM,"Bend/Redmond, OR",United States,TRUE,13
VistaJet Limited,LAX,"Los Angeles, CA",United States,CUN,"Cancun, Mexico",Mexico,TRUE,93
Federal Express Corporation,LAX,"Los Angeles, CA",United States,ELP,"El Paso, TX",United States,FALSE,35
Korean Air Lines Co. Ltd.,LAX,"Los Angeles, CA",United States,GMP,"Seoul, South Korea",South Korea,TRUE,1
United Air Lines Inc.,LAX,"Los Angeles, CA",United States,SJD,"San Jose del Cabo, Mexico",Mexico,TRUE,133
Saudi Arabian Airlines Corp,LAX,"Los Angeles, CA",United States,MED,"Medina, Saudi Arabia",Saudi Arabia,TRUE,1
Federal Express Corporation,LAX,"Los Angeles, CA",United States,MEM,"Memphis, TN",United States,FALSE,124
Atlas Air Inc.,LAX,"Los Angeles, CA",United States,MEL,"Melbourne, Australia",Australia,FALSE,39
Southern Air Inc.,LAX,"Los Angeles, CA",United States,LEJ,"Leipzig, Germany",Germany,FALSE,13
ABX Air Inc,LAX,"Los Angeles, CA",United States,GDL,"Guadalajara, Mexico",Mexico,FALSE,133
ABX Air Inc,LAX,"Los Angeles, CA",United States,MEX,"Mexico City, Mexico",Mexico,FALSE,179
VistaJet Limited,LAX,"Los Angeles, CA",United States,CIA,"Rome, Italy",Italy,TRUE,1
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,TWF,"Twin Falls, ID",United States,TRUE,5
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,MSY,"New Orleans, LA",United States,TRUE,93
Allegiant Air,LAX,"Los Angeles, CA",United States,CID,"Cedar Rapids/Iowa City, IA",United States,TRUE,4
VistaJet Limited,LAX,"Los Angeles, CA",United States,IQT,"Iquitos, Peru",Peru,TRUE,1
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,MSP,"Minneapolis, MN",United States,TRUE,134
Allegiant Air,LAX,"Los Angeles, CA",United States,MSO,"Missoula, MT",United States,TRUE,12
United Air Lines Inc.,LAX,"Los Angeles, CA",United States,MSN,"Madison, WI",United States,TRUE,3
Air Berlin PLC and CO,LAX,"Los Angeles, CA",United States,TXL,"Berlin, Germany",Germany,TRUE,5
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,DAB,"Daytona Beach, FL",United States,TRUE,1
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,DAL,"Dallas, TX",United States,TRUE,61
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,SGU,"St. George, UT",United States,TRUE,6
Alaska Airlines Inc.,LAX,"Los Angeles, CA",United States,SEA,"Seattle, WA",United States,TRUE,284
Sun Country Airlines d/b/a MN Airlines,LAX,"Los Angeles, CA",United States,DAY,"Dayton, OH",United States,TRUE,1
Allegiant Air,LAX,"Los Angeles, CA",United States,SGF,"Springfield, MO",United States,TRUE,13
Korean Air Lines Co. Ltd.,LAX,"Los Angeles, CA",United States,ICN,"Seoul, South Korea",South Korea,FALSE,144
VistaJet Limited,LAX,"Los Angeles, CA",United States,GVA,"Geneva, Switzerland",Switzerland,TRUE,4
VistaJet Limited,LAX,"Los Angeles, CA",United States,KLU,"Klagenfurt, Austria",Austria,TRUE,1
Comlux Aruba NV,LAX,"Los Angeles, CA",United States,TNG,"Tangier, Morocco",Morocco,TRUE,1
XTRA Airways,LAX,"Los Angeles, CA",United States,HOU,"Houston, TX",United States,TRUE,36
Sichuan Airlines Co Ltd.,LAX,"Los Angeles, CA",United States,TNA,"Jinan, China",China,TRUE,12
Miami Air International,LAX,"Los Angeles, CA",United States,ICT,"Wichita, KS",United States,TRUE,9
China Eastern Airlines,LAX,"Los Angeles, CA",United States,NKG,"Nanjing, China",China,TRUE,12
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),LAX,"Los Angeles, CA",United States,ZCL,"Zacatecas, Mexico",Mexico,TRUE,21
Southwest Airlines Co.,LAX,"Los Angeles, CA",United States,AMA,"Amarillo, TX",United States,TRUE,1
"Jet Aviation Flight Services, Inc.",LAX,"Los Angeles, CA",United States,EZE,"Ezeiza, Argentina",Argentina,TRUE,1
Emirates,LAX,"Los Angeles, CA",United States,DXB,"Dubai, United Arab Emirates",United Arab Emirates,FALSE,20
