CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
United Air Lines Inc.,SFO,"San Francisco, CA",United States,AKL,"Auckland, New Zealand",New Zealand,True,31
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,FAT,"Fresno, CA",United States,True,38
American Airlines Inc.,SFO,"San Francisco, CA",United States,CLT,"Charlotte, NC",United States,True,21
VistaJet Limited,SFO,"San Francisco, CA",United States,NHT,"Northolt, United Kingdom",United Kingdom,True,1
United Air Lines Inc.,SFO,"San Francisco, CA",United States,TLV,"Tel Aviv, Israel",Israel,True,20
Etihad Airways,SFO,"San Francisco, CA",United States,AUH,"Abu Dhabi, United Arab Emirates",United Arab Emirates,True,10
"Global Jet Luxembourg, Sa",SFO,"San Francisco, CA",United States,FAB,"Farnborough, United Kingdom",United Kingdom,True,2
CFM Inc d/b/a Contour Airlines,SFO,"San Francisco, CA",United States,EAT,"Wenatchee, WA",United States,True,1
Southwest Airlines Co.,SFO,"San Francisco, CA",United States,ONT,"Ontario, CA",United States,True,39
Korean Air Lines Co. Ltd.,SFO,"San Francisco, CA",United States,ICN,"Seoul, South Korea",South Korea,False,114
United Air Lines Inc.,SFO,"San Francisco, CA",United States,STL,"St. Louis, MO",United States,True,67
United Air Lines Inc.,SFO,"San Francisco, CA",United States,ABI,"Abilene, TX",United States,True,1
"Comlux Malta, Ltd.",SFO,"San Francisco, CA",United States,GVA,"Geneva, Switzerland",Switzerland,True,1
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,EUG,"Eugene, OR",United States,True,70
United Air Lines Inc.,SFO,"San Francisco, CA",United States,MLM,"Morelia, Mexico",Mexico,True,1
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,MTJ,"Montrose/Delta, CO",United States,True,6
Horizon Air,SFO,"San Francisco, CA",United States,ABQ,"Albuquerque, NM",United States,True,26
American Airlines Inc.,SFO,"San Francisco, CA",United States,HOU,"Houston, TX",United States,True,2
United Air Lines Inc.,SFO,"San Francisco, CA",United States,HGH,"Hangzhou, China",China,True,11
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,STS,"Santa Rosa, CA",United States,True,7
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,SBN,"South Bend, IN",United States,True,1
Air Pacific Ltd.,SFO,"San Francisco, CA",United States,NAN,"Nadi, Fiji",Fiji,True,13
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,SLC,"Salt Lake City, UT",United States,True,189
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,MCO,"Orlando, FL",United States,True,76
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,BHM,"Birmingham, AL",United States,True,3
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,MCI,"Kansas City, MO",United States,True,29
Avjet Corporation,SFO,"San Francisco, CA",United States,LGB,"Long Beach, CA",United States,True,13
Virgin Atlantic Airways,SFO,"San Francisco, CA",United States,MAN,"Manchester, United Kingdom",United Kingdom,True,13
Emirates,SFO,"San Francisco, CA",United States,DXB,"Dubai, United Arab Emirates",United Arab Emirates,True,12
United Air Lines Inc.,SFO,"San Francisco, CA",United States,SDF,"Louisville, KY",United States,True,1
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,RST,"Rochester, MN",United States,True,2
Virgin America,SFO,"San Francisco, CA",United States,OGG,"Kahului, HI",United States,True,62
American Airlines Inc.,SFO,"San Francisco, CA",United States,RSW,"Fort Myers, FL",United States,True,1
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,PNE,"Philadelphia, PA",United States,True,1
VistaJet Limited,SFO,"San Francisco, CA",United States,NCE,"Nice, France",France,True,1
Virgin Atlantic Airways,SFO,"San Francisco, CA",United States,ARN,"Stockholm, Sweden",Sweden,True,1
Nippon Cargo Airlines,SFO,"San Francisco, CA",United States,NRT,"Tokyo, Japan",Japan,False,43
