CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,MHR,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,MHR,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,PHL,"Philadelphia, PA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RFD,"Rockford, IL",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RNO,"Reno, NV",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
Kalitta Charters II,ELP,"El Paso, TX",United States,OAK,"Oakland, CA",United States,False
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",SAT,"San Antonio, TX",United States,OAK,"Oakland, CA",United States,True
Hawaiian Airlines Inc.,PHX,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,True
USA Jet Airlines Inc.,PUB,"Pueblo, CO",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,MHR,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,PHL,"Philadelphia, PA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RFD,"Rockford, IL",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RFD,"Rockford, IL",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RNO,"Reno, NV",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
Miami Air International,TOL,"Toledo, OH",United States,OAK,"Oakland, CA",United States,True
Kalitta Charters II,LRD,"Laredo, TX",United States,OAK,"Oakland, CA",United States,False
USA Jet Airlines Inc.,ELP,"El Paso, TX",United States,OAK,"Oakland, CA",United States,False
USA Jet Airlines Inc.,PHX,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,False
Delta Air Lines Inc.,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,True
Kalitta Charters II,LBF,"North Platte, NE",United States,OAK,"Oakland, CA",United States,False
London Air Services Limited,YVR,"Vancouver, Canada",Canada,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,True
Atlas Air Inc.,DAL,"Dallas, TX",United States,OAK,"Oakland, CA",United States,True
"ADVANCED AIR, LLC",MRY,"Monterey, CA",United States,OAK,"Oakland, CA",United States,True
"ADVANCED AIR, LLC",STS,"Santa Rosa, CA",United States,OAK,"Oakland, CA",United States,True
Federal Express Corporation,AFW,"Dallas/Fort Worth, TX",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ANC,"Anchorage, AK",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ANC,"Anchorage, AK",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,BOI,"Boise, ID",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,EWR,"Newark, NJ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,EWR,"Newark, NJ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,FAT,"Fresno, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,GEG,"Spokane, WA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,GEG,"Spokane, WA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,HNL,"Honolulu, HI",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,IND,"Indianapolis, IN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,IND,"Indianapolis, IN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,IND,"Indianapolis, IN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,LAS,"Las Vegas, NV",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,LAS,"Las Vegas, NV",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MRY,"Monterey, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ORD,"Chicago, IL",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PDX,"Portland, OR",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PDX,"Portland, OR",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PHX,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PHX,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PHX,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,RNO,"Reno, NV",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,RNO,"Reno, NV",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SAN,"San Diego, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SEA,"Seattle, WA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SEA,"Seattle, WA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SEA,"Seattle, WA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,UXK,"Petaluma, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,VIS,"Visalia, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,KIX,"Osaka, Japan",Japan,OAK,"Oakland, CA",United States,False
Federal Express Corporation,KIX,"Osaka, Japan",Japan,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PVG,"Shanghai, China",China,OAK,"Oakland, CA",United States,False
Federal Express Corporation,TPE,"Taipei, Taiwan",Taiwan,OAK,"Oakland, CA",United States,False
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LAS,"Las Vegas, NV",United States,OAK,"Oakland, CA",United States,True
Gulf And Caribbean Cargo,MCI,"Kansas City, MO",United States,OAK,"Oakland, CA",United States,False
Gulf And Caribbean Cargo,TYS,"Knoxville, TN",United States,OAK,"Oakland, CA",United States,False
USA Jet Airlines Inc.,ELP,"El Paso, TX",United States,OAK,"Oakland, CA",United States,False
USA Jet Airlines Inc.,LBF,"North Platte, NE",United States,OAK,"Oakland, CA",United States,False
USA Jet Airlines Inc.,PUB,"Pueblo, CO",United States,OAK,"Oakland, CA",United States,False
USA Jet Airlines Inc.,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
USA Jet Airlines Inc.,SLN,"Salina, KS",United States,OAK,"Oakland, CA",United States,False
USA Jet Airlines Inc.,YIP,"Detroit, MI",United States,OAK,"Oakland, CA",United States,False
Kalitta Charters II,ELP,"El Paso, TX",United States,OAK,"Oakland, CA",United States,False
Kalitta Charters II,LBF,"North Platte, NE",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,MHR,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,PDX,"Portland, OR",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,PHL,"Philadelphia, PA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RFD,"Rockford, IL",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RNO,"Reno, NV",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,True
Federal Express Corporation,AFW,"Dallas/Fort Worth, TX",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,AFW,"Dallas/Fort Worth, TX",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ANC,"Anchorage, AK",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ANC,"Anchorage, AK",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,BOI,"Boise, ID",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,DEN,"Denver, CO",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,EWR,"Newark, NJ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,EWR,"Newark, NJ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,FAT,"Fresno, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,HNL,"Honolulu, HI",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,IND,"Indianapolis, IN",United States,OAK,"Oakland, CA",United States,False
